nProcesso,agrupamento,anoLetivo,ano,escalao,dataNascimento,genero,nacionalidade,linguaMaterna,anoEscMae,distrito,class1P_ingles,class1P_ling_estrang,class1P_portugues,class1P_matematica,class1P_ed_fis,class1P_art_tecn,class1P_cienc_fis_nat,class1P_cienc_soc_huma,class1P_avg,class2P_ingles,class2P_ling_estrang,class2P_portugues,class2P_matematica,class2P_ed_fis,class2P_art_tecn,class2P_cienc_fis_nat,class2P_cienc_soc_huma,class2P_avg,class3P_ingles,class3P_ling_estrang,class3P_portugues,class3P_matematica,class3P_ed_fis,class3P_art_tecn,class3P_cienc_fis_nat,class3P_cienc_soc_huma,class3P_avg,negative_class_ratio_1P,negative_class_ratio_2P,negative_class_ratio_3P,negative_class_ratio_nuclear_1P,negative_class_ratio_not_nuclear_1P,negative_class_ratio_nuclear_2P,negative_class_ratio_not_nuclear_2P,negative_class_ratio_nuclear_3P,negative_class_ratio_not_nuclear_3P,nFaltas_J_total_ingles,nFaltas_J_total_ling_estrang,nFaltas_J_total_matematica,nFaltas_J_total_portugues,nFaltas_J_total_ed_fis,nFaltas_J_total_art_tecn,nFaltas_J_total_cienc_fis_nat,nFaltas_J_total_cienc_soc_huma,nFaltas_J_total,nFaltas_I_total_ingles,nFaltas_I_total_ling_estrang,nFaltas_I_total_matematica,nFaltas_I_total_portugues,nFaltas_I_total_ed_fis,nFaltas_I_total_art_tecn,nFaltas_I_total_cienc_fis_nat,nFaltas_I_total_cienc_soc_huma,nFaltas_I_total,nFaltas_total,per_miss_J_total_ingles,per_miss_J_total_ling_estrang,per_miss_J_total_matematica,per_miss_J_total_portugues,per_miss_J_total_ed_fis,per_miss_J_total_art_tecn,per_miss_J_total_cienc_fis_nat,per_miss_J_total_cienc_soc_huma,per_miss_J_total,per_miss_I_total_ingles,per_miss_I_total_ling_estrang,per_miss_I_total_matematica,per_miss_I_total_portugues,per_miss_I_total_ed_fis,per_miss_I_total_art_tecn,per_miss_I_total_cienc_fis_nat,per_miss_I_total_cienc_soc_huma,per_miss_I_total,per_miss_total,distrito_agrup,teip_agrup,baixa_densidade_agrup
11,A49,2017/2018,7,3,52003,Masculino,Portugal,Portugal,Secundário,Porto,3.0,3.0,4.0,2.0,5.0,2.0,4.0,3.5,2.3,2.0,2.0,3.0,1.0,3.0,4.0,3.5,4.0,2.15,3.0,2.0,2.0,3.0,3.0,2.5,4.0,3.0,3.45,0.1,0.1,0.09090909090909091,0.5,0.0,0.5,0.0,0.5,0.0,1.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.007978723404255319,0.012096774193548387,0.009615384615384616,0.0,0.0,0.031914893617021274,0.008021390374331552,0.0,0.06962716620454115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06962716620454115,Porto,0,0
12,A49,2017/2018,7,3,112008,Masculino,Portugal,Portugal,Formação Desconhecida,Porto,2.0,2.0,2.0,1.0,3.0,3.0,3.5,3.5,2.5,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.5,2.35,2.0,4.0,2.0,1.0,3.0,2.5,2.0,1.5,2.5,0.5,0.6,0.5454545454545454,1.0,0.375,1.0,0.5,1.0,0.4444444444444444,1.0,3.0,5.0,3.0,2.0,0.0,4.0,4.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.007978723404255319,0.036290322580645164,0.02403846153846154,0.014423076923076924,0.015957446808510637,0.0,0.016042780748663103,0.019230769230769232,0.1339615812343819,0.0,0.0,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.004807692307692308,0.13876927354207422,Porto,0,0
13,A49,2017/2018,7,3,52033,Masculino,Portugal,Portugal,Formação Desconhecida,Porto,2.0,5.0,3.0,3.0,1.0,4.0,,,1.375,2.0,5.0,3.0,3.0,3.0,4.0,,,3.875,4.0,3.0,5,3.0,3.0,5.0,3.0,5.0,3.3,0.5,0.3333333333333333,0.2727272727272727,0.5,0.5,0.5,0.25,0.5,0.2222222222222222,32.0,0.0,32.0,38.0,4.0,0.0,54.0,33.0,193.0,3.0,17.0,7.0,9.0,15.0,6.0,32.0,7.0,96.0,289.0,0.2553191489361702,0.0,0.15384615384615385,0.18269230769230768,0.031914893617021274,0.0,0.21657754010695188,0.15865384615384615,0.9990038903524511,0.023936170212765957,0.2056451612903226,0.03365384615384615,0.04326923076923077,0.1196808510638298,0.047872340425531915,0.12834224598930483,0.03365384615384615,0.6360536920586781,1.6350575824111293,Porto,0,0
14,A49,2017/2018,7,3,52023,Masculino,Portugal,Portugal,Básico (3º ciclo),Porto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,12.0,12.0,10.0,8.0,11.0,13.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007978723404255319,0.07258064516129033,0.057692307692307696,0.057692307692307696,0.0797872340425532,0.06382978723404255,0.04411764705882353,0.0625,0.44617865228558035,0.44617865228558035,Porto,0,0
15,A49,2017/2018,7,1,121982,Feminino,Portugal,Portugal,Secundário,Porto,1.0,3.0,2.0,3.0,3.0,5.0,,,3.0,1.0,4.0,4.0,2.0,4.0,2.0,,,2.625,2.0,4.0,4.0,2.0,5.0,5.0,2.5,2.5,3.2,0.16666666666666666,0.3333333333333333,0.09090909090909091,0.0,0.25,0.5,0.25,0.0,0.1111111111111111,1.0,2.0,2.0,3.0,1.0,0.0,1.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,16.0,0.007978723404255319,0.024193548387096774,0.009615384615384616,0.014423076923076924,0.007978723404255319,0.0,0.004010695187165776,0.014423076923076924,0.08262322884431166,0.0,0.0,0.0,0.0,0.0,0.007978723404255319,0.008021390374331552,0.0,0.016000113778586872,0.09862334262289853,Porto,0,0
16,A49,2017/2018,7,2,52029,Feminino,Portugal,Portugal,Secundário,Porto,5.0,3.0,3.0,3.0,4.0,2.0,3.5,2.5,4.0,4.0,4.0,4.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,5.0,2.0,3.0,3.1,0.3,0.1,0.09090909090909091,1.0,0.125,0.5,0.0,0.5,0.0,1.0,0.0,8.0,0.0,3.0,4.0,5.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,0.007978723404255319,0.0,0.038461538461538464,0.0,0.023936170212765957,0.031914893617021274,0.020053475935828877,0.009615384615384616,0.1319601862467945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004807692307692308,0.004807692307692308,0.13676787855448683,Porto,0,0
17,A49,2017/2018,7,3,122006,Masculino,Portugal,Portugal,Básico (3º ciclo),Porto,4.0,3.0,3.0,2.0,1.0,4.0,,,2.75,4.0,4.0,4.0,2.0,2.0,2.0,,,1.75,4.0,3.0,2.0,2.0,2.0,4.0,3.5,3.5,3.2,0.3333333333333333,0.16666666666666666,0.09090909090909091,0.5,0.25,0.0,0.25,0.0,0.1111111111111111,7.0,7.0,10.0,5.0,10.0,4.0,13.0,10.0,66.0,2.0,0.0,4.0,3.0,6.0,0.0,14.0,4.0,33.0,99.0,0.05585106382978723,0.0846774193548387,0.04807692307692308,0.02403846153846154,0.0797872340425532,0.031914893617021274,0.05213903743315508,0.04807692307692308,0.4245619559696632,0.015957446808510637,0.0,0.019230769230769232,0.014423076923076924,0.047872340425531915,0.0,0.05614973262032086,0.019230769230769232,0.1728641352389788,0.597426091208642,Porto,0,0
18,A49,2017/2018,7,1,122016,Feminino,Portugal,Portugal,Licenciatura,Porto,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,4.0,4.0,3.0,3.1,4.0,5.0,3.0,2.0,2.0,4.5,4.0,2.0,3.25,0.1,0.2,0.18181818181818182,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,8.0,0.0,0.0,0.009615384615384616,0.004807692307692308,0.0,0.0,0.0,0.0,0.014423076923076924,0.0,0.012096774193548387,0.004807692307692308,0.0,0.0,0.0,0.012032085561497326,0.0,0.02893655206273802,0.04335962898581494,Porto,0,0
19,A49,2017/2018,7,1,102031,Feminino,Portugal,Portugal,Básico (3º ciclo),Porto,4.0,,,4.0,,5.0,,,4.933333333333334,4.0,,,4.0,,4.0,,,4.933333333333334,4.0,,,3.0,2.0,5.0,,,3.8333333333333335,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.6702127659574468,0.0,0.0,0.0,0.6702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6702127659574468,Porto,0,0
20,A49,2017/2018,7,3,22003,Feminino,Portugal,Portugal,Básico (3º ciclo),Porto,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,5.0,3.5,4.15,4.0,5.0,3.0,4.0,3.0,4.5,4.0,5,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,10.0,1.0,2.0,4.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0967741935483871,0.038461538461538464,0.04807692307692308,0.007978723404255319,0.015957446808510637,0.016042780748663103,0.009615384615384616,0.2329069906636623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2329069906636623,Porto,0,0
21,A49,2017/2018,7,3,22022,Feminino,Portugal,Portugal,Licenciatura,Porto,4.0,2.0,4.0,5.0,4.0,3.0,2.0,4.5,3.55,4.0,5.0,2.0,2.0,3.0,3.0,3.5,3.0,3.35,3.0,4.0,2.0,4.0,4.0,4.5,5.0,2.5,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,4.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.012096774193548387,0.0,0.009615384615384616,0.007978723404255319,0.0398936170212766,0.016042780748663103,0.004807692307692308,0.09043497229082033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09043497229082033,Porto,0,0
22,A49,2017/2018,7,3,91980,Feminino,Portugal,Portugal,Licenciatura,Porto,5,5,3.0,5,4.0,5.0,4.0,5.0,3.5999999999999996,4.0,5.0,4.0,5,3.0,5,4.0,4.0,3.7333333333333325,5,4.0,4.0,5,5,5.0,5,5.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.024193548387096774,0.009615384615384616,0.014423076923076924,0.015957446808510637,0.0,0.0,0.014423076923076924,0.07861253365714588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07861253365714588,Porto,0,0
23,A49,2017/2018,7,3,102029,Masculino,Portugal,Portugal,Secundário,Porto,2.0,1.0,2.0,4.0,3.0,2.0,1.0,2.5,2.45,2.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.7,3.0,2.0,3.0,3.0,5.0,3.0,1.5,2.0,2.95,0.6,0.5,0.2727272727272727,0.5,0.625,0.5,0.5,0.5,0.2222222222222222,1.0,5.0,7.0,5.0,0.0,0.0,7.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.007978723404255319,0.06048387096774194,0.03365384615384615,0.02403846153846154,0.0,0.0,0.02807486631016043,0.014423076923076924,0.16865284529754232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16865284529754232,Porto,0,0
24,A49,2017/2018,7,3,11987,Feminino,Portugal,Portugal,Secundário,Porto,4.0,4.0,3.0,4.0,4.0,2.6666666666666665,3.5,3.0,5,4.0,5,3.0,3.0,5,3.333333333333333,4.5,4.5,3.633333333333333,4.0,5,3.0,4.0,4.0,4.333333333333333,5,5,4.683333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.012096774193548387,0.004807692307692308,0.009615384615384616,0.007978723404255319,0.0,0.020053475935828877,0.004807692307692308,0.05935974276440181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05935974276440181,Porto,0,0
25,A49,2017/2018,7,1,51975,Masculino,Portugal,Portugal,Licenciatura,Porto,5.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,2.7,4.0,3.0,4.0,2.0,4.0,4.0,5.0,3.0,4.7,5,5.0,4.0,5.0,4.0,3.0,4.5,2.0,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,5.0,0.0,6.0,6.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.023936170212765957,0.0,0.02403846153846154,0.02403846153846154,0.0,0.047872340425531915,0.02406417112299465,0.014423076923076924,0.15837268176129254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15837268176129254,Porto,0,0
26,A49,2017/2018,7,3,72012,Masculino,Portugal,Portugal,Básico (3º ciclo),Porto,5.0,3.0,5.0,5.0,4.0,2.0,2.5,4.0,4.95,5.0,3.0,5.0,2.0,5.0,3.0,5.0,4.0,2.9,5.0,4.0,3.0,5.0,5,4.5,3.0,3.0,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,4.0,2.0,2.0,9.0,3.0,35.0,1.0,1.0,0.0,3.0,4.0,2.0,0.0,1.0,12.0,47.0,0.007978723404255319,0.024193548387096774,0.057692307692307696,0.019230769230769232,0.015957446808510637,0.015957446808510637,0.03609625668449198,0.014423076923076924,0.1915295759390192,0.007978723404255319,0.012096774193548387,0.0,0.014423076923076924,0.031914893617021274,0.015957446808510637,0.0,0.004807692307692308,0.08717860725410485,0.27870818319312407,Porto,0,0
27,A49,2017/2018,7,3,91977,Masculino,Portugal,Portugal,Licenciatura,Porto,5,4.0,5.0,3.0,5.0,4.0,4.0,5.0,5,4.0,5.0,3.0,4.0,5.0,5.0,5,4.0,5,5,5.0,4.0,5,3.0,3.5,4.0,5.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.004807692307692308,0.015957446808510637,0.015957446808510637,0.0,0.0,0.036722585924713586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036722585924713586,Porto,0,0
28,A49,2017/2018,7,1,31981,Masculino,Portugal,Portugal,Básico (2º ciclo),Porto,4.0,4.0,2.0,3.0,3.0,4.0,3.5,3.0,2.35,2.0,5.0,2.0,3.0,2.0,5.0,3.5,3.0,4.05,3.0,5.0,2.0,2.0,3.0,4.5,2.5,3.0,3.0,0.2,0.2,0.18181818181818182,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.004807692307692308,0.004807692307692308,0.0,0.015957446808510637,0.004010695187165776,0.004807692307692308,0.03439121891875334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004807692307692308,0.004807692307692308,0.03919891122644564,Porto,0,0
29,A49,2017/2018,7,1,22021,Masculino,Portugal,Portugal,Secundário,Porto,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.5,5,5.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,4.2,5.0,5.0,5,3.0,4.0,5,5,3.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,4.0,0.0,6.0,9.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.023936170212765957,0.0,0.03365384615384615,0.019230769230769232,0.0,0.047872340425531915,0.03609625668449198,0.02403846153846154,0.18482784424586676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18482784424586676,Porto,0,0
30,A49,2017/2018,7,3,22004,Masculino,Portugal,Portugal,Secundário,Porto,3.0,5.0,2.0,5.0,3.0,3.0,3.0,3.0,3.8,2.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,4.7,3.0,5,3.0,4.0,5.0,4.0,4.0,4.5,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.04838709677419355,0.014423076923076924,0.03365384615384615,0.0,0.0,0.0,0.0,0.09646401985111662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09646401985111662,Porto,0,0
